Linha;Erro;Conteúdo
4657;Colunas incorretas (3 de 1);SÃO PAULO;SÃO PAULO;INSTITUTO FEDERAL DE EDUCAÇÃO; CIÊNCIA E TECNOLOGIA DE SÃO PAULO;IFCT;Instituto Federal de Educação; Ciência e Tecnologia;Pública Federal;ENGENHARIA DE PRODUÇÃO;ENGENHARIA DE PRODUÇÃO;Presencial;Bacharelado;222;250;234;208;227;264;268;272;293
4773;Colunas incorretas (3 de 1);MINAS GERAIS;UBERLÂNDIA;INSTITUTO FEDERAL DE EDUCAÇÃO; CIÊNCIA E TECNOLOGIA  DO TRIÂNGULO MINEIRO;IFCT;Instituto Federal de Educação; Ciência e Tecnologia;Pública Federal;ENGENHARIA AGRONÔMICA;ENGENHARIA AGRONÔMICA;Presencial;Bacharelado;140;179;199;202;216;222;270;303;317
4774;Colunas incorretas (3 de 1);RIO DE JANEIRO;DUQUE DE CAXIAS;INSTITUTO FEDERAL DE EDUCAÇÃO; CIÊNCIA E TECNOLOGIA DO RIO DE JANEIRO;IFCT;Instituto Federal de Educação; Ciência e Tecnologia;Pública Federal;QUÍMICA;QUÍMICA;Presencial;Licenciatura;184;206;215;243;245;251;254;264;298
4877;Colunas incorretas (3 de 1);DISTRITO FEDERAL;BRASÍLIA;INSTITUTO FEDERAL DE EDUCAÇÃO; CIENCIA E TECNOLOGIA DE BRASILIA;IFCT;Instituto Federal de Educação; Ciência e Tecnologia;Pública Federal;SISTEMAS PARA INTERNET;SISTEMAS PARA INTERNET;Presencial;Tecnológico;;;;69;133;211;293;344;299
4878;Colunas incorretas (3 de 1);SÃO PAULO;SÃO PAULO;INSTITUTO FEDERAL DE EDUCAÇÃO; CIÊNCIA E TECNOLOGIA DE SÃO PAULO;IFCT;Instituto Federal de Educação; Ciência e Tecnologia;Pública Federal;TURISMO;GESTÃO DE TURISMO;Presencial;Tecnológico;586;675;492;453;414;480;464;447;440
4944;Colunas incorretas (2 de 1);PARÁ;TUCURUÍ;FACULDADE DE TEOLOGIA; FILOSOFIA E CIÊNCIAS HUMANAS GAMALIEL;FATEFIG;Faculdade;Privada com fins lucrativos ;ODONTOLOGIA;ODONTOLOGIA;Presencial;Bacharelado;;;;;;121;185;267;296
4948;Colunas incorretas (3 de 1);GOIÁS;RIO VERDE;INSTITUTO FEDERAL DE EDUCAÇÃO; CIÊNCIA E TECNOLOGIA GOIANO;IFCT;Instituto Federal de Educação; Ciência e Tecnologia;Pública Federal;AGRONOMIA;AGRONOMIA;Presencial;Bacharelado;202;246;219;228;225;238;263;292;316
5011;Colunas incorretas (3 de 1);ESPÍRITO SANTO;SERRA;INSTITUTO FEDERAL DE EDUCAÇÃO; CIÊNCIA E TECNOLOGIA DO ESPÍRITO SANTO;IFCT;Instituto Federal de Educação; Ciência e Tecnologia;Pública Federal;ENGENHARIA DE CONTROLE E AUTOMAÇÃO;ENGENHARIA DE CONTROLE E AUTOMAÇÃO;Presencial;Bacharelado;283;294;315;315;303;253;240;273;298
5026;Colunas incorretas (3 de 1);CEARÁ;FORTALEZA;CENTRO UNIVERSITÁRIO FAMETRO;FAMETRO;Centro Universitário;Privada com fins lucrativos ;ESTETICA; COSMETICA; BELEZA E IMAGEM PESSOAL;ESTÉTICA E COSMÉTICA;Presencial;Tecnológico;854;726;621;571;698;555;393;328;332
5038;Colunas incorretas (3 de 1);PARAÍBA;CAMPINA GRANDE;INSTITUTO FEDERAL DE EDUCAÇÃO; CIÊNCIA E TECNOLOGIA  DA PARAÍBA;IFCT;Instituto Federal de Educação; Ciência e Tecnologia;Pública Federal;ENGENHARIA DA COMPUTAÇÃO;ENGENHARIA DE COMPUTAÇÃO;Presencial;Bacharelado;;;72;110;195;248;297;351;386
5039;Colunas incorretas (3 de 1);ALAGOAS;MACEIÓ;INSTITUTO FEDERAL DE EDUCAÇÃO; CIÊNCIA E TECNOLOGIA DE ALAGOAS;IFCT;Instituto Federal de Educação; Ciência e Tecnologia;Pública Federal;SISTEMAS DE INFORMAÇÃO;SISTEMAS DE INFORMAÇÃO;Presencial;Bacharelado;278;291;274;317;330;338;324;299;296
5040;Colunas incorretas (3 de 1);MATO GROSSO;CUIABÁ;INSTITUTO FEDERAL DE EDUCAÇÃO; CIÊNCIA E TECNOLOGIA DE MATO GROSSO;IFCT;Instituto Federal de Educação; Ciência e Tecnologia;Pública Federal;TURISMO;TURISMO;Presencial;Bacharelado;;55;124;161;223;292;233;276;270
5120;Colunas incorretas (3 de 1);RIO DE JANEIRO;RIO DE JANEIRO;INSTITUTO FEDERAL DE EDUCAÇÃO; CIÊNCIA E TECNOLOGIA DO RIO DE JANEIRO;IFCT;Instituto Federal de Educação; Ciência e Tecnologia;Pública Federal;FARMÁCIA E BIOQUÍMICA;FARMÁCIA;Presencial;Bacharelado;221;224;244;276;275;277;267;280;302
5123;Colunas incorretas (3 de 1);SÃO PAULO;SÃO PAULO;UNIVERSIDADE ANHEMBI MORUMBI;UAM;Universidade;Privada com fins lucrativos ;ESTETICA; COSMETICA; BELEZA E IMAGEM PESSOAL;ESTÉTICA;Presencial;Bacharelado;674;670;869;698;762;736;687;426;427
5148;Colunas incorretas (3 de 1);PARAÍBA;GUARABIRA;INSTITUTO FEDERAL DE EDUCAÇÃO; CIÊNCIA E TECNOLOGIA  DA PARAÍBA;IFCT;Instituto Federal de Educação; Ciência e Tecnologia;Pública Federal;GESTÃO COMERCIAL;GESTÃO COMERCIAL;Presencial;Tecnológico;98;121;160;209;255;226;221;236;293
5179;Colunas incorretas (3 de 1);RIO GRANDE DO SUL;SAPUCAIA DO SUL;INSTITUTO FEDERAL DE EDUCAÇÃO; CIÊNCIA E TECNOLOGIA SUL-RIO-GRANDENSE;IFCT;Instituto Federal de Educação; Ciência e Tecnologia;Pública Federal;ENGENHARIA MECÂNICA;ENGENHARIA MECÂNICA;Presencial;Bacharelado;354;352;365;386;406;378;350;344;336
5199;Colunas incorretas (3 de 1);PARANÁ;PARANAVAÍ;CENTRO UNIVERSITÁRIO UNIFATECIE;FATECIE;Centro Universitário;Privada com fins lucrativos ;ESTETICA; COSMETICA; BELEZA E IMAGEM PESSOAL;Estética E Cosmética;EaD;Tecnológico;;;;;;;;25;39
5208;Colunas incorretas (3 de 1);SANTA CATARINA;FLORIANÓPOLIS;INSTITUTO FEDERAL DE EDUCAÇÃO; CIÊNCIA E TECNOLOGIA  DE SANTA CATARINA;IFCT;Instituto Federal de Educação; Ciência e Tecnologia;Pública Federal;ENGENHARIA ELÉTRICA;ENGENHARIA ELÉTRICA;Presencial;Bacharelado;126;185;221;263;304;333;381;401;363
